Title,Status,Tags,"Sign date","Sign year","Counterpart (original)","Counterpart ISO","Counterpart SPA","Counterpart ENG","Region SPA","Region ENG"
"Tratado de Arbitraje General celebrado entre la República Agentina y la República de Colombia",Vigente,"Arbitraje
Solución de controversias",20/01/1912,1912,Colombia,COL,Colombia,Colombia,América,America
"Declaración restableciendo relaciones diplomáticas entre la República Argentina y la República del Paraguay",,"Relaciones diplomáticas",17/02/1912,1912,Paraguay,PRY,Paraguay,Paraguay,América,America
"Convención entre la República Argentina y la República de Bolivia para suprimir las legalizaciones en los exhortos que en materia civil o criminal se dirijan entre sí los tribunales de ambos países",Vigente,"Asistencia judicial
Cooperación
Legalizaciones",25/03/1912,1912,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Convención referente al  comercio de cabotaje entre la República Argentina y la República Oriental del Uruguay",,"Aduanas
Buques
Comercio
Impuestos
Puertos
Ríos Internacionales
Transporte por agua
Trato nacional",29/07/1912,1912,Uruguay,URY,Uruguay,Uruguay,América,America
"Convención sanitaria - Acta preliminar y Acta de Firma entre el Reino de Italia y la República Argentina",Vigente,Salud,17/08/1912,1912,Italia,ITA,Italia,Italy,Europa,Europe
"Convenio entre la República Argentina y los Estados Unidos Mexicanos para el transporte de la correspondencia diplomática",Vigente,"Comunicaciones
Diplomacia",26/08/1912,1912,México,MEX,México,Mexico,América,America
"Protocolo entre la República Argentina y los Estados Unidos del Brasil por el que se Modifican los Artículos 4 y 6 del Acuerdo sobre Ejecución de las Rogatorias del 14.2.1880",Vigente,"Asistencia judicial
Exenciones
Legalizaciones",16/09/1912,1912,Brasil,BRA,Brasil,Brazil,América,America
"Acta de una Reunión sobre las Divergencias Producidas en la Demarcación de la Frontera Comprendida entre La Quiaca y el Hito 17, y entre la Serranía de Zapalerí y La Quiaca.",,"Fronteras
Límites",28/11/1912,1912,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Convenio entre el Gobierno de la República Argentina y el Gobierno Imperial Alemán para el canje de Encomiendas Postales sin valor declarado de más de cinco kilogramos hasta diez",,"Servicios postales",30/11/1912,1912,"Alemania, República Federal de",DEU,Alemania,Germany,Europa,Europe
"Convenio Argentino-Francés para el Canje de Encomiendas Postales de Valor Declarado",Extinguido,"Servicios postales",10/12/1912,1912,Francia,FRA,Francia,France,Europa,Europe
"Convenio para el Intercambio de Giros Postales entre la República Argentina y el Reino Unido de la Gran Bretaña e Irlanda.",Vigente,"Servicios postales",30/12/1912,1912,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Convención para el tráfico por ferrocarriles entre la República Argentina y la República del Paraguay",,"Aduanas
Comercio
Exenciones
Fronteras
Integración física
Seguridad
Transporte terrestre",07/04/1913,1913,Paraguay,PRY,Paraguay,Paraguay,América,America
"Protocolo entre la República Argentina y la República de Bolivia por el que se dejan sin efecto los Protocolos del 30.6.1894 - 11.12.1902 - 16.2.1906 y 18.5.1907, sobre construcciones ferroviarias",,"Derecho de los Tratados
Fronteras
Límites
Transporte",17/06/1913,1913,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Acuerdo Argentino-Español sobre establecimiento de un Servicio de Valijas Diplomáticas",Vigente,"Valija diplomática",11/07/1913,1913,España,ESP,España,Spain,Europa,Europe
"Acuerdo por canje de notas entre la República Argentina y la República Portuguesa relativo a Valijas Diplomáticas",Vigente,"Valija diplomática",12/11/1913,1913,Portugal,PRT,Portugal,Portugal,Europa,Europe
"Tratado de Arbitraje entre Francia y la República Argentina",Vigente,"Arbitraje
Tratados",03/07/1914,1914,Francia,FRA,Francia,France,Europa,Europe
